 2.15443469e+01  5.35119026e+01  2.15443469e+01  1.79866327e+02 
 2.32630507e+01  5.35118987e+01  2.32630507e+01  1.79855651e+02 
 2.51188643e+01  5.35118941e+01  2.51188643e+01  1.79844123e+02 
 2.71227258e+01  5.35118888e+01  2.71227258e+01  1.79831676e+02 
 2.92864456e+01  5.35118825e+01  2.92864456e+01  1.79818236e+02 
 3.16227766e+01  5.35118753e+01  3.16227766e+01  1.79803724e+02 
 3.41454887e+01  5.35118668e+01  3.41454887e+01  1.79788054e+02 
 3.68694506e+01  5.35118570e+01  3.68694506e+01  1.79771134e+02 
 3.98107171e+01  5.35118455e+01  3.98107171e+01  1.79752864e+02 
 4.29866235e+01  5.35118321e+01  4.29866235e+01  1.79733137e+02 
 4.64158883e+01  5.35118165e+01  4.64158883e+01  1.79711836e+02 
 5.01187234e+01  5.35117983e+01  5.01187234e+01  1.79688836e+02 
 5.41169527e+01  5.35117770e+01  5.41169527e+01  1.79664002e+02 
 5.84341413e+01  5.35117523e+01  5.84341413e+01  1.79637186e+02 
 6.30957344e+01  5.35117234e+01  6.30957344e+01  1.79608231e+02 
 6.81292069e+01  5.35116898e+01  6.81292069e+01  1.79576967e+02 
 7.35642254e+01  5.35116505e+01  7.35642254e+01  1.79543208e+02 
 7.94328235e+01  5.35116048e+01  7.94328235e+01  1.79506757e+02 
 8.57695899e+01  5.35115515e+01  8.57695899e+01  1.79467399e+02 
 9.26118728e+01  5.35114893e+01  9.26118728e+01  1.79424901e+02 
 1.00000000e+02  5.35114168e+01  1.00000000e+02  1.79379014e+02 
 1.07977516e+02  5.35113323e+01  1.07977516e+02  1.79329467e+02 
 1.16591440e+02  5.35112337e+01  1.16591440e+02  1.79275968e+02 
 1.25892541e+02  5.35111188e+01  1.25892541e+02  1.79218203e+02 
 1.35935639e+02  5.35109849e+01  1.35935639e+02  1.79155832e+02 
 1.46779927e+02  5.35108287e+01  1.46779927e+02  1.79088487e+02 
 1.58489319e+02  5.35106467e+01  1.58489319e+02  1.79015772e+02 
 1.71132830e+02  5.35104344e+01  1.71132830e+02  1.78937261e+02 
 1.84784980e+02  5.35101869e+01  1.84784980e+02  1.78852490e+02 
 1.99526231e+02  5.35098984e+01  1.99526231e+02  1.78760963e+02 
 2.15443469e+02  5.35095621e+01  2.15443469e+02  1.78662141e+02 
