Metric,Value
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.189733
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,239.933884
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,430
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,430
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99982
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.99998
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.000179529
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.000275188
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.0000163846
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.000275188
design_powergrid__voltage__worst,0.000275188
design_powergrid__voltage__worst__net:VDD,4.99982
design_powergrid__drop__worst,0.000275188
design_powergrid__drop__worst__net:VDD,0.000179529
design_powergrid__voltage__worst__net:VSS,0.000275188
design_powergrid__drop__worst__net:VSS,0.000275188
ir__voltage__worst,5
ir__drop__avg,0.00001660000000000000030760984037758731801659450866281986236572265625
ir__drop__worst,0.00018000000000000001133641791550843436198192648589611053466796875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
